@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute searchPercentage numeric
@attribute debugPercentage numeric
@attribute focusPercentage numeric
@attribute editPercentage numeric
@attribute removePercentage numeric
@attribute stuck {YES,NO}

@data
75,0,25,0,0,NO
27.91,9.3,9.3,53.49,0,NO
66.67,5.56,5.56,22.22,0,NO
81.58,0,7.89,7.89,2.63,NO
32.26,0,32.26,25.81,9.68,NO
32.43,0,10.81,51.35,5.41,NO
27.5,0,10,45,17.5,NO
17.5,0,2.5,62.5,17.5,NO
20.59,0,8.82,38.24,32.35,NO
11.9,2.38,11.9,73.81,0,NO
7.32,2.44,4.88,78.05,7.32,NO
26.32,2.63,5.26,60.53,5.26,NO
32.26,3.23,12.9,48.39,3.23,NO
85.71,0,0,14.29,0,NO
24.44,2.22,4.44,64.44,4.44,NO
37.5,2.5,5,47.5,7.5,NO
55.56,0,5.56,36.11,2.78,NO
32.35,0,8.82,50,8.82,NO
35.9,0,2.56,46.15,15.38,NO
46.88,9.38,12.5,31.25,0,NO
100,0,0,0,0,NO
52.5,0,10,32.5,5,NO
16.67,0,27.78,44.44,11.11,YES
21.05,0,26.32,42.11,10.53,YES
21.74,0,21.74,47.83,8.7,YES
33.33,0,15.15,42.42,9.09,NO
0,0,14.29,85.71,0,NO
22.58,0,12.9,61.29,3.23,NO
25.71,11.43,20,42.86,0,NO
24.32,10.81,8.11,54.05,2.7,NO
50,3.12,12.5,31.25,3.12,NO
18.52,0,29.63,51.85,0,NO
36,0,12,4,48,NO
36.59,0,4.88,51.22,7.32,NO
23.68,0,10.53,60.53,5.26,NO
50,0,23.33,26.67,0,NO
77.14,0,5.71,17.14,0,NO
100,0,0,0,0,NO
70.37,3.7,7.41,11.11,7.41,NO
70.83,8.33,16.67,4.17,0,YES
62.5,6.25,15.62,15.62,0,NO
35.29,2.94,5.88,52.94,2.94,NO
17.07,2.44,2.44,78.05,0,NO
23.81,0,0,73.81,2.38,NO
65.62,3.12,6.25,12.5,12.5,NO
26.67,0,26.67,46.67,0,NO
10.53,0,2.63,60.53,26.32,NO
16.67,0,10,50,23.33,NO
16.22,0,2.7,78.38,2.7,NO
5,0,2.5,87.5,5,NO
17.14,0,14.29,60,8.57,NO
0,0,14.29,85.71,0,NO
31.43,0,11.43,54.29,2.86,NO
28.21,0,2.56,66.67,2.56,NO
17.07,0,0,78.05,4.88,NO
21.62,0,16.22,62.16,0,NO
4.65,0,4.65,90.7,0,NO
32.43,2.7,8.11,51.35,5.41,NO
66.67,0,4.76,14.29,14.29,NO
60.87,0,0,34.78,4.35,NO
66.67,0,20,13.33,0,NO
52.94,0,17.65,29.41,0,NO
58.33,0,16.67,22.22,2.78,NO
34.29,0,17.14,48.57,0,NO
28.57,14.29,57.14,0,0,NO
100,0,0,0,0,NO
0,0,100,0,0,NO
11.76,0,20.59,64.71,2.94,NO
0,0,6.67,93.33,0,NO
36.67,0,10,50,3.33,NO
15.62,0,21.88,62.5,0,NO
0,0,0,93.48,6.52,NO
30,0,23.33,43.33,3.33,NO
6.25,0,18.75,71.88,3.12,NO
5.13,0,0,84.62,10.26,NO
4.44,0,6.67,55.56,33.33,NO
4.88,0,9.76,80.49,4.88,NO
10.2,0,0,85.71,4.08,NO
4.76,2.38,2.38,90.48,0,NO
30,6.67,6.67,56.67,0,NO
70.27,0,8.11,13.51,8.11,NO
64.71,0,2.94,17.65,14.71,NO
44.12,2.94,2.94,50,0,NO
21.88,0,0,75,3.12,NO
18.18,0,2.27,77.27,2.27,NO
25.64,0,0,74.36,0,NO
7.5,0,2.5,80,10,NO
9.52,0,4.76,83.33,2.38,NO
29.73,2.7,5.41,62.16,0,NO
20,20,60,0,0,NO
52.78,8.33,11.11,27.78,0,NO
94.59,0,5.41,0,0,NO
0,0,0,0,0,NO
60.53,0,13.16,23.68,2.63,NO
0,0,0,100,0,NO
82.86,0,2.86,14.29,0,NO
68.18,0,4.55,18.18,9.09,NO
38.89,0,16.67,38.89,5.56,NO
60.47,0,2.33,37.21,0,NO
75,0,2.27,13.64,9.09,NO
31.03,0,0,65.52,3.45,NO
22.22,0,2.22,71.11,4.44,NO
41.18,0,5.88,52.94,0,NO
13.04,0,0,80.43,6.52,NO
13.04,0,2.17,76.09,8.7,NO
31.58,0,2.63,63.16,2.63,NO
25,0,12.5,60,2.5,NO
0,0,2.27,97.73,0,NO
8.7,0,0,91.3,0,NO
30.23,0,0,60.47,9.3,NO
11.63,0,0,88.37,0,NO
70.73,0,4.88,24.39,0,NO
100,0,0,0,0,NO
78.72,0,0,21.28,0,NO
24.24,0,6.06,66.67,3.03,NO
10,0,0,90,0,NO
16.67,0,7.14,73.81,2.38,NO
30,0,0,70,0,NO
81.48,0,18.52,0,0,NO
42.86,0,0,57.14,0,NO
12.2,0,2.44,80.49,4.88,NO
40,0,12.5,42.5,5,NO
20,0,2.5,65,12.5,NO
21.21,0,0,69.7,9.09,NO
100,0,0,0,0,NO
9.3,0,2.33,88.37,0,NO
20.59,0,8.82,70.59,0,NO
100,0,0,0,0,NO
60.53,0,2.63,28.95,7.89,NO
8.33,0,0,80.56,11.11,NO
36.84,0,31.58,10.53,21.05,NO
37.04,0,7.41,55.56,0,NO
38.89,0,5.56,52.78,2.78,NO
12.82,0,0,84.62,2.56,NO
90.62,3.12,6.25,0,0,NO
47.73,0,4.55,47.73,0,NO
6.67,0,0,93.33,0,NO
30.23,0,4.65,62.79,2.33,NO
13.16,0,13.16,73.68,0,NO
0,0,0,95.74,4.26,NO
0,0,0,94.74,5.26,NO
100,0,0,0,0,NO
93.88,4.08,2.04,0,0,NO
89.74,2.56,5.13,2.56,0,NO
55.26,0,10.53,28.95,5.26,NO
18.75,0,21.88,43.75,15.62,NO
2.63,0,13.16,84.21,0,NO
5.56,0,16.67,77.78,0,NO
15.62,0,12.5,62.5,9.38,NO
0,0,2.27,97.73,0,NO
5,0,2.5,92.5,0,NO
2.13,0,0,97.87,0,NO
5.56,16.67,22.22,55.56,0,NO
64.29,7.14,28.57,0,0,NO
8.16,0,2.04,89.8,0,NO
23.81,0,11.9,64.29,0,NO
35,0,12.5,52.5,0,NO
27.5,0,2.5,62.5,7.5,NO
11.9,0,4.76,83.33,0,NO
46.88,0,12.5,40.62,0,NO
11.63,0,0,88.37,0,NO
18.92,0,5.41,67.57,8.11,NO
64.86,0,5.41,27.03,2.7,NO
67.57,0,8.11,24.32,0,NO
81.08,0,5.41,13.51,0,NO
67.57,0,5.41,27.03,0,NO
100,0,0,0,0,NO
30.95,0,9.52,59.52,0,NO
9.52,0,7.14,83.33,0,NO
9.76,0,2.44,87.8,0,NO
4.88,0,12.2,82.93,0,NO
21.62,0,0,78.38,0,NO
20,3.33,16.67,60,0,NO
93.1,0,6.9,0,0,NO
84.62,2.56,10.26,0,2.56,NO
19.44,2.78,25,38.89,13.89,NO
88.24,0,11.76,0,0,NO
96.3,0,3.7,0,0,NO
76.47,5.88,11.76,5.88,0,NO
24.44,0,6.67,57.78,11.11,NO
28.57,5.71,11.43,54.29,0,NO
23.68,2.63,5.26,68.42,0,NO
100,0,0,0,0,NO
100,0,0,0,0,NO
4.44,0,6.67,80,8.89,NO
23.68,0,2.63,73.68,0,NO
7.14,0,2.38,90.48,0,NO
8.7,0,2.17,84.78,4.35,NO
9.76,0,9.76,70.73,9.76,NO
24.24,6.06,30.3,39.39,0,NO
40,6.67,33.33,20,0,NO
36.67,0,33.33,13.33,16.67,NO
100,0,0,0,0,NO
33.33,0,33.33,30.3,3.03,NO
32.26,0,29.03,35.48,3.23,NO
86.36,0,9.09,4.55,0,NO
20.59,0,38.24,41.18,0,NO
13.51,0,27.03,54.05,5.41,NO
51.35,0,24.32,24.32,0,NO
100,0,0,0,0,NO
0,11.11,88.89,0,0,NO
50,0,50,0,0,NO
44,0,44,12,0,NO
66.67,0,5.56,27.78,0,NO
18.42,0,5.26,73.68,2.63,NO
15.22,0,2.17,71.74,10.87,NO
48.57,0,5.71,40,5.71,NO
0,0,0,0,0,NO
57.69,0,0,34.62,7.69,NO
55.56,0,22.22,22.22,0,NO
95.83,0,4.17,0,0,NO
100,0,0,0,0,NO
56.41,0,2.56,28.21,12.82,NO
5.13,0,2.56,79.49,12.82,NO
45.95,0,0,51.35,2.7,NO
52.38,0,0,42.86,4.76,NO
38.64,0,0,36.36,25,NO
25,0,2.5,60,12.5,NO
7.14,0,0,88.1,4.76,NO
12.5,0,0,80,7.5,NO
66.67,0,2.38,30.95,0,NO
2.33,0,0,62.79,34.88,NO
6.67,0,4.44,35.56,53.33,NO
4.26,0,0,53.19,42.55,NO
50,4.55,13.64,13.64,18.18,YES
50,4.55,13.64,13.64,18.18,NO
77.14,0,2.86,20,0,NO
68.75,0,3.12,28.12,0,NO
21.05,0,2.63,76.32,0,NO
28.21,2.56,10.26,58.97,0,NO
9.76,4.88,7.32,65.85,12.2,NO
0,0,0,75,25,NO
28.57,5.71,8.57,40,17.14,NO
43.75,6.25,15.62,31.25,3.12,NO
31.82,13.64,50,4.55,0,NO
28.21,0,2.56,69.23,0,NO
24.24,6.06,12.12,51.52,6.06,NO
18.75,0,0,81.25,0,NO
31.11,6.67,4.44,35.56,22.22,NO
17.39,2.17,4.35,39.13,36.96,NO
24.39,4.88,9.76,53.66,7.32,NO
40.62,6.25,15.62,37.5,0,NO
60,20,20,0,0,NO
100,0,0,0,0,NO
44.44,5.56,5.56,27.78,16.67,NO
39.53,0,0,39.53,20.93,NO
27.27,0,0,40.91,31.82,NO
45.45,3.03,3.03,30.3,18.18,YES
44.44,2.78,2.78,33.33,16.67,NO
7.14,4.76,4.76,83.33,0,NO
12.82,2.56,7.69,71.79,5.13,NO
23.68,0,2.63,63.16,10.53,NO
13.33,0,0,57.78,28.89,NO
30,7.5,7.5,55,0,NO
10.53,7.89,10.53,71.05,0,NO
48,8,24,20,0,NO
51.28,2.56,2.56,43.59,0,NO
100,0,0,0,0,NO
40,2.86,17.14,40,0,NO
20,0,16,64,0,NO
0,0,12.5,80,7.5,NO
7.14,0,11.9,76.19,4.76,NO
13.16,0,23.68,60.53,2.63,NO
35,2.5,7.5,55,0,NO
18.18,0,0,79.55,2.27,NO
6.82,2.27,2.27,88.64,0,NO
35.29,0,0,55.88,8.82,NO
76.67,0,3.33,13.33,6.67,NO
34.29,0,0,62.86,2.86,NO
42.11,0,10.53,42.11,5.26,NO
51.22,0,9.76,24.39,14.63,NO
38.89,2.78,13.89,22.22,22.22,NO
68.57,0,11.43,20,0,NO
59.46,0,13.51,21.62,5.41,NO
33.33,0,3.33,63.33,0,NO
56.76,5.41,16.22,21.62,0,NO
0,33.33,66.67,0,0,NO
0,0,100,0,0,NO
0,31.82,59.09,9.09,0,NO
0,0,18.18,45.45,36.36,NO
0,0,100,0,0,NO
0,27.59,72.41,0,0,NO
0,34.29,37.14,28.57,0,NO
0,100,0,0,0,NO
0,20,70,10,0,NO
0,17.14,34.29,45.71,2.86,NO
0,0,100,0,0,NO
0,20,60,20,0,NO
0,27.27,54.55,18.18,0,NO
0,2.78,27.78,66.67,2.78,NO
0,22.22,50,27.78,0,NO
0,0,25,75,0,NO
0,0,2.86,97.14,0,NO
0,0,0,97.56,2.44,NO
0,0,44.44,55.56,0,NO
0,0,8.33,75,16.67,NO
0,0,0,95.35,4.65,NO
0,0,11.54,80.77,7.69,NO
0,24,48,28,0,YES
0,23.08,50,26.92,0,YES
0,22.22,48.15,29.63,0,YES
0,21.43,46.43,32.14,0,YES
0,21.43,46.43,32.14,0,YES
0,20,50,30,0,NO
0,0,14.29,85.71,0,NO
0,0,50,50,0,NO
0,23.08,46.15,30.77,0,YES
0,9.09,33.33,51.52,6.06,NO
0,0,0,95.24,4.76,NO
0,0,7.14,67.86,25,NO
0,0,100,0,0,NO
0,0,0,100,0,NO
0,0,100,0,0,YES
0,0,37.14,62.86,0,NO
0,0,12.5,84.38,3.12,NO
0,0,5.88,94.12,0,NO
0,0,0,100,0,NO
0,0,2.13,85.11,12.77,NO
0,0,0,97.87,2.13,NO
0,0,9.52,76.19,14.29,NO
0,0,0,76.09,23.91,NO
0,0,11.11,88.89,0,NO
0,0,0,75.76,24.24,NO
0,0,0,80,20,NO
0,0,5.88,76.47,17.65,NO
0,0,12.12,84.85,3.03,NO
0,0,4.35,91.3,4.35,YES
0,2.7,18.92,75.68,2.7,NO
0,28.21,20.51,46.15,5.13,NO
0,12.9,54.84,25.81,6.45,NO
0,29.03,54.84,16.13,0,NO
0,33.33,60,6.67,0,NO
0,20,53.33,26.67,0,NO
0,0,9.38,84.38,6.25,NO
0,0,2.38,97.62,0,NO
0,0,2.08,97.92,0,NO
0,16.67,50,33.33,0,NO
0,31.43,37.14,31.43,0,NO
0,37.5,53.12,9.38,0,NO
0,30.77,53.85,15.38,0,NO
0,2.44,2.44,82.93,12.2,NO
0,30.3,36.36,21.21,12.12,NO
0,23.53,70.59,5.88,0,NO
0,35.48,54.84,9.68,0,NO
0,41.03,28.21,30.77,0,NO
